# Aluminum phonon density of states. 
# x axis: energy in meV
# Energy(meV)     DOS
3.677426812810106327e+01 5.741920337311420819e-02
3.685598872394128733e+01 5.468174888647603371e-02
3.693770931978151140e+01 5.201804047497964045e-02
3.701942991562173546e+01 4.949237670112811849e-02
3.710115051146195952e+01 4.716398326368969468e-02
3.718287110730218359e+01 4.507828875202888469e-02
3.726459170314240765e+01 4.324597060401550591e-02
3.734631229898263172e+01 4.159496849271913932e-02
3.742803289482285578e+01 4.002083703830545958e-02
3.750975349066307984e+01 3.849343630826811830e-02
3.759147408650330391e+01 3.705347815933739825e-02
3.767319468234352797e+01 3.573824923604353859e-02
3.775491527818375204e+01 3.454453832125905371e-02
3.783663587402397610e+01 3.341292718784922428e-02
3.791835646986420727e+01 3.228957924752468012e-02
3.800007706570443133e+01 3.117564745132997417e-02
3.808179766154465540e+01 3.009002707293688406e-02
3.816351825738487946e+01 2.906312698031212477e-02
3.824523885322510353e+01 2.808125093347579523e-02
3.832695944906532759e+01 2.707026998845950966e-02
3.840868004490555165e+01 2.599256264018565132e-02
3.849040064074577572e+01 2.485018047149684106e-02
3.857212123658599978e+01 2.365079269043649304e-02
3.865384183242622385e+01 2.241344302739649644e-02
3.873556242826644791e+01 2.115920320483063305e-02
3.881728302410667197e+01 1.989945498703953389e-02
3.889900361994689604e+01 1.864475710779010115e-02
3.898072421578712010e+01 1.741593111850575984e-02
3.906244481162735127e+01 1.623564887876808097e-02
3.914416540746757533e+01 1.510365873522863216e-02
3.922588600330779940e+01 1.401367639666456673e-02
3.930760659914802346e+01 1.297904834681886006e-02
3.938932719498824753e+01 1.200219692381834964e-02
3.947104779082847159e+01 1.107394763652969939e-02
3.955276838666869565e+01 1.016659810322135746e-02
3.963448898250891972e+01 9.264807198303323318e-03
3.971620957834914378e+01 8.378046417680392113e-03
3.979793017418936785e+01 7.498261671700341170e-03
3.987965077002959191e+01 6.619699589068703260e-03
3.996137136586981597e+01 5.742365437022079258e-03
4.004309196171004004e+01 4.858444719922429787e-03
4.012481255755026410e+01 3.995745173659462010e-03
4.020653315339049527e+01 3.196965913616001392e-03
4.028825374923071934e+01 2.478040364458262545e-03
4.036997434507094340e+01 1.844701409641612104e-03
4.045169494091116746e+01 1.300213289402940564e-03
4.053341553675139153e+01 8.572813023074618262e-04
4.061513613259161559e+01 5.235263733853541719e-04
4.069685672843183966e+01 2.865244843252445382e-04
4.077857732427206372e+01 1.321580556169679309e-04
